whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1263.Molecular.Connections.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A061AJI9	1	1	0	0	0	0	0	0	0	0	0
A0A061AJJ3	1	1	0	0	0	0	0	0	0	0	0
A0A061AJJ5	1	1	0	0	0	0	0	0	0	0	0
A0A061AJK0	1	1	0	0	0	0	0	0	0	0	0
A0A061AJK4	1	1	0	0	0	0	0	0	0	0	0
A0A061AJK8	1	1	0	0	0	0	0	0	0	0	0
A0A061AJL2	1	1	0	0	0	0	0	0	0	1	0
A0A061AKJ3	1	1	0	0	0	0	0	0	0	0	0
A0A061AKJ8	1	1	0	0	0	0	0	0	0	1	0
A0A061AKK5	1	1	0	0	0	0	0	0	0	1	0
A0A061AKL1	1	1	0	0	0	0	0	0	0	0	0
A0A061AKL8	1	1	0	0	0	0	0	0	0	1	0
A0A061AKM4	1	1	0	0	0	0	0	0	0	0	0
A0A061AKN1	1	1	0	0	0	0	0	0	0	0	0
A0A061AKN6	1	1	0	0	0	0	0	0	0	1	0
A0A061AKP2	1	1	0	0	0	0	0	0	0	1	0
A0A061AKP8	1	1	0	0	0	0	0	0	0	0	0
A0A061AKQ5	1	1	0	0	0	0	0	0	0	0	0
A0A061AKR0	1	1	0	0	0	0	0	0	0	1	0
A0A061AKR6	1	1	0	0	0	0	0	0	0	0	0
A0A061AKS3	1	1	0	0	0	0	0	0	0	1	0
A0A061AKS9	1	1	0	0	0	0	0	0	0	1	0
A0A061AKT4	1	1	0	0	0	0	0	0	0	0	0
A0A061AKU0	1	1	0	0	0	0	0	0	0	0	0
A0A061AKU6	1	1	0	0	0	0	0	0	0	0	0
A0A061AKV1	1	1	0	0	0	0	0	0	0	0	0
A0A061AKV6	1	1	0	0	0	0	0	0	0	1	0
A0A061AKW2	1	1	0	0	0	0	0	0	0	0	0
A0A061AKW6	1	1	0	0	0	0	0	0	0	0	0
A0A061AKX1	1	1	0	0	0	0	0	0	0	0	0
A0A061AKX8	1	1	0	0	0	0	0	0	0	1	0
A0A061AKY5	1	1	0	0	0	0	0	0	0	0	0
A0A061AKZ2	1	1	0	0	0	0	0	0	0	0	0
A0A061AL01	1	1	0	0	0	0	0	0	0	0	0
A0A061AL07	1	1	0	0	0	0	0	0	0	1	0
A0A061AL29	1	1	0	0	0	0	0	0	0	1	0
A0A061AL47	1	1	0	0	0	0	0	0	0	0	0
A0A061AL52	1	1	0	0	0	0	0	0	0	0	0
A0A061AL58	1	1	0	0	0	0	0	0	0	0	0
A0A061AL62	1	1	0	0	0	0	0	0	0	0	0
A0A061AL65	1	1	0	0	0	0	0	0	0	0	0
A0A061AL70	1	1	0	0	0	0	0	0	0	1	0
A0A061AL74	1	1	0	0	0	0	0	0	0	0	0
A0A061AL77	1	1	0	0	0	0	0	0	0	1	0
A0A061AL82	1	1	0	0	0	0	0	0	0	0	0
A0A061AL87	1	1	0	0	0	0	0	0	0	0	0
A0A061AL89	1	1	0	0	0	0	0	0	0	0	0
A0A061AL94	1	1	0	0	0	0	0	0	0	0	0
A0A067XG43	1	1	0	0	0	0	0	0	0	1	0
A0A067XG44	1	1	0	0	0	0	0	0	0	0	0
A0A077LSK8	1	1	0	0	0	0	0	0	0	1	0
