whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	IMEx	missing_protein_evidence
P07023	1	1	uniprotkb	83333	1	0	0	0	1	0
P07024	1	1	uniprotkb	83333	1	0	0	0	1	0
P07026	1	1	uniprotkb	83333	1	0	0	0	1	0
P07102	1	1	uniprotkb	83333	1	0	0	0	1	0
P07109	1	1	uniprotkb	83333	1	0	0	0	1	0
P07117	1	1	uniprotkb	83333	1	0	0	0	1	0
P07118	1	1	uniprotkb	83333	1	0	0	0	1	0
P07330	1	1	uniprotkb	83333	1	0	0	0	1	0
P07363	1	1	uniprotkb	83333	1	0	0	1	1	0
P07363-2	1	1	uniprotkb	83333	0	0	0	1	1	0
P07364	1	1	uniprotkb	83333	1	0	0	0	1	1
P07395	1	1	uniprotkb	83333	1	0	0	0	1	0
P07464	1	1	uniprotkb	83333	1	0	0	0	1	0
P07604	1	1	uniprotkb	83333	1	0	0	0	1	0
P07623	1	1	uniprotkb	83333	1	1	0	0	1	0
P07639	1	1	uniprotkb	83333	1	0	0	0	1	0
P07648	1	1	uniprotkb	83333	1	1	0	0	1	0
P07649	1	1	uniprotkb	83333	1	0	0	0	1	0
P07650	1	1	uniprotkb	83333	1	0	0	0	1	0
P07654	1	1	0	0	0	0	0	0	0	0
P07658	1	1	uniprotkb	83333	1	0	0	0	1	0
P07762	1	1	uniprotkb	83333	1	0	0	0	1	0
P07813	1	1	uniprotkb	83333	1	0	0	0	1	0
P07821	1	1	uniprotkb	83333	1	0	0	0	1	0
P07822	1	1	uniprotkb	83333	1	0	0	0	1	0
P07862	1	1	uniprotkb	83333	1	0	0	0	1	0
P07913	1	1	uniprotkb	83333	1	0	0	0	1	0
P08142	1	1	uniprotkb	83333	1	0	0	0	1	0
P08178	1	1	uniprotkb	83333	1	0	0	0	1	0
P08179	1	1	uniprotkb	83333	1	0	0	0	1	0
P08189	1	1	uniprotkb	83333	1	1	0	0	1	0
P08190	1	1	uniprotkb	83333	1	0	0	0	1	0
P08191	1	1	uniprotkb	83333	1	0	0	1	1	0
P08192	1	1	uniprotkb	83333	1	0	0	0	1	0
P08194	1	1	uniprotkb	83333	1	0	0	0	1	0
P08200	1	1	uniprotkb	83333	1	0	0	0	1	0
P08201	1	1	uniprotkb	83333	1	0	0	0	1	1
P08202	1	1	uniprotkb	83333	1	0	0	0	1	0
P08203	1	1	uniprotkb	83333	1	0	0	0	1	0
P08204	1	1	uniprotkb	83333	1	0	0	0	1	0
P08244	1	1	uniprotkb	83333	1	0	0	0	1	0
P08245	1	1	uniprotkb	83333	1	0	0	0	1	0
P08312	1	1	uniprotkb	83333	1	0	0	0	1	0
P08321	1	0	0	0	0	0	0	0	0	1
P08322	1	0	0	0	0	0	0	0	0	1
P08331	1	1	uniprotkb	83333	1	0	0	0	1	0
P08337	1	1	uniprotkb	83333	1	0	0	0	1	0
P08339	1	1	uniprotkb	83333	1	0	0	0	1	1
P08365	1	1	uniprotkb	83333	1	0	0	0	1	0
P08368	1	1	uniprotkb	83333	1	0	0	1	1	0
