whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	1263(Molecular Connections)	IMEx	missing_protein_evidence
G5ED47	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED49	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED57	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED58	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED60	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED63	0	0	uniprotkb	6239	1	1	0	0	1	0
G5ED65	1	1	0	0	0	0	0	0	0	1
G5ED66	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED68	1	1	0	0	0	0	0	0	0	0
G5ED81	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED84	1	1	uniprotkb	6239	1	0	0	0	1	0
G5ED85	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED89	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED95	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDA0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDA3	0	0	uniprotkb	6239	1	0	1	0	1	0
G5EDA5	1	1	0	0	0	0	0	0	0	0
G5EDA6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDA8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDB5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDB6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDB8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDB9	1	1	uniprotkb	6239	1	0	1	0	1	0
G5EDC2	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDD1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDD5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDD8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDE1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDE4	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDE5	1	1	0	0	0	0	0	0	0	0
G5EDE7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDE8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDF1	0	0	uniprotkb	6239	0	1	0	0	1	0
G5EDF5	0	0	uniprotkb	6239	0	1	0	0	1	0
G5EDF6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDF7	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EDG2	1	1	0	0	0	0	0	0	0	1
G5EDG6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDI1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDI2	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDI8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDJ0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDJ4	1	1	uniprotkb	6239	0	1	0	0	1	0
G5EDK5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDL0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDL3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDL5	1	1	0	0	0	0	0	0	0	0
G5EDM7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDN3	1	1	0	0	0	0	0	0	0	0
G5EDN6	1	1	0	0	0	0	0	0	0	0
G5EDN7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDN8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDP2	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EDP9	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDQ2	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDQ5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDQ9	1	1	0	0	0	0	0	0	0	1
G5EDR3	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EDR5	1	1	0	0	0	0	0	0	0	0
G5EDS1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDS9	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDT1	0	0	uniprotkb	6239	0	1	1	0	1	0
G5EDT6	1	1	uniprotkb	6239	1	0	1	0	1	0
G5EDU4	0	0	uniprotkb	6239	1	1	0	0	1	0
G5EDU6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDU7	0	0	uniprotkb	6239	1	1	0	0	1	0
G5EDV3	0	0	uniprotkb	6239	1	1	0	0	1	0
G5EDV7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDW1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDW2	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EDW5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDW7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDW8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDX9	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDY0	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EDY3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EDZ2	0	0	uniprotkb	6239	1	1	0	0	1	0
G5EDZ9	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE01	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EE02	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE04	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE06	1	1	0	0	0	0	0	0	0	0
G5EE07	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE09	0	0	uniprotkb	6239	0	1	0	0	1	0
G5EE12	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE18	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE23	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE25	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE32	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE33	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE36	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE37	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE46	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE49	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE53	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE56	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EE62	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE65	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE66	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE68	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE71	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE85	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EE86	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EE98	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EEA1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EEA3	0	0	uniprotkb	6239	0	1	0	0	1	0
