whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X1263.Molecular.Connections.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A0S2RR82	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RR86	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RR89	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RR90	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RR99	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RRA5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RRA6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RRA7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RRA8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RRF0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RRF3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RRH9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0S2RRT4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0U3E4L5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0U3SCP3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A128ATR4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A128ATR8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A128ATR9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A128ATT6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A139ZPC7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A140JWM8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A142C269	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A142C272	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A142C273	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A142C276	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A142C277	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A142FJX3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A142I795	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A142I7H7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A142I7P3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A160CBM4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A168L4G8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A173QMW1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U544	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U555	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U564	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U571	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U577	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U585	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U587	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U595	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U597	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5A5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5A7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5B4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5B8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5C4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5D1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5D5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5D8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5E1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5E5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5F1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5F2	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5F8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5F9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5G4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5H0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5H4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5H5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5I0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5J1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5J5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5J6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5K0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5K6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5K7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5K8	1	0	0	0	0	0	0	0	0	0	0	1	0
