whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	0974(InnateDB)	1222(mbinfo)	1262(I2D)	1263(Molecular Connections)	1332(bhf-ucl)	1335(HPIDb)	IMEx	missing_protein_evidence
A0A075B5R5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5R6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5R7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5R8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5R9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5S0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5S1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5S2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5S3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5S4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5S5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5S6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5S8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5S9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5T0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5T1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5T2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5T3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5T4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5T5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5T6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5T7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5T8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5T9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5U0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5U1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5U3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5U4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5U5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
